Kind,Name,CountLineCode,SumCyclomatic
File,"AbstractAnyAllOnePredicateTest.java",34,4
File,"AbstractArrayListTest.java",28,4
File,"AbstractBagDecorator.java",42,9
File,"AbstractBagTest.java",531,74
File,"AbstractBidiMapDecorator.java",35,7
File,"AbstractBidiMapTest.java",443,69
File,"AbstractBitwiseTrie.java",113,31
File,"AbstractClosureTest.java",12,1
File,"AbstractCollectionDecorator.java",80,19
File,"AbstractCollectionTest.java",805,141
File,"AbstractComparatorTest.java",107,15
File,"AbstractCompositePredicateTest.java",59,10
File,"AbstractDualBidiMap.java",449,93
File,"AbstractEmptyIterator.java",36,11
File,"AbstractEmptyMapIterator.java",15,4
File,"AbstractHashedMap.java",746,171
File,"AbstractInputCheckedMapDecorator.java",94,18
File,"AbstractIterableGetMapDecorator.java",67,18
File,"AbstractIterableMap.java",8,1
File,"AbstractIterableMapTest.java",142,29
File,"AbstractIteratorDecorator.java",10,2
File,"AbstractIteratorTest.java",79,18
File,"AbstractKeyValue.java",35,6
File,"AbstractLinkedList.java",604,143
File,"AbstractLinkedListTest.java",149,21
File,"AbstractLinkedListTest.java",131,19
File,"AbstractLinkedMap.java",301,76
File,"AbstractListDecorator.java",57,15
File,"AbstractListIteratorDecorator.java",42,12
File,"AbstractListIteratorTest.java",144,30
File,"AbstractListTest.java",931,165
File,"AbstractListValuedMap.java",186,39
File,"AbstractMapBag.java",351,76
File,"AbstractMapDecorator.java",70,20
File,"AbstractMapEntry.java",29,10
File,"AbstractMapEntryDecorator.java",39,10
File,"AbstractMapEntryTest.java",65,8
File,"AbstractMapIteratorDecorator.java",33,9
File,"AbstractMapIteratorTest.java",198,35
File,"AbstractMapMultiSet.java",331,70
File,"AbstractMapTest.java",1297,232
File,"AbstractMockPredicateTest.java",41,7
File,"AbstractMultiSet.java",302,67
File,"AbstractMultiSetDecorator.java",50,11
File,"AbstractMultiSetTest.java",531,74
File,"AbstractMultiValuedMap.java",619,142
File,"AbstractMultiValuedMapDecorator.java",114,26
File,"AbstractMultiValuedMapTest.java",829,146
File,"AbstractNavigableSetDecorator.java",62,14
File,"AbstractNavigableSetTest.java",208,40
File,"AbstractNullComparatorTest.java",73,12
File,"AbstractObjectTest.java",169,33
