Kind,Name,CountLineCode,SumCyclomatic
File,"PredicateTransformer.java",21,5
File,"PredicateUtils.java",111,29
File,"PredicatedBag.java",30,7
File,"PredicatedBuffer.java",21,5
File,"PredicatedCollection.java",35,9
File,"PredicatedList.java",68,17
File,"PredicatedMap.java",115,25
File,"PredicatedSet.java",15,3
File,"PredicatedSortedBag.java",25,6
File,"PredicatedSortedMap.java",37,9
File,"PredicatedSortedSet.java",36,9
File,"PriorityBuffer.java",222,53
File,"PriorityQueue.java",8,0
File,"PrototypeFactory.java",102,21
File,"ProxyIterator.java",27,7
File,"ProxyListIterator.java",45,13
File,"ProxyMap.java",52,15
File,"ReferenceMap.java",528,122
File,"ReferenceMap.java",488,123
File,"ResettableIterator.java",5,0
File,"ResettableListIterator.java",5,0
File,"ReverseComparator.java",35,9
File,"SequencedHashMap.java",421,118
File,"SetUniqueList.java",156,35
File,"SetUtils.java",81,19
File,"SingletonIterator.java",35,7
File,"SingletonListIterator.java",62,17
File,"SortedBag.java",7,0
File,"SortedBidiMap.java",6,0
File,"StaticBucketMap.java",356,88
File,"StaticBucketMap.java",400,90
File,"StringValueTransformer.java",13,2
File,"SwitchClosure.java",65,15
File,"SwitchTransformer.java",63,15
File,"SynchronizedBag.java",46,9
File,"SynchronizedBuffer.java",27,6
File,"SynchronizedCollection.java",105,22
File,"SynchronizedList.java",66,14
File,"SynchronizedPriorityQueue.java",26,7
File,"SynchronizedSet.java",17,4
File,"SynchronizedSortedBag.java",34,7
File,"SynchronizedSortedSet.java",51,10
File,"TestAbstractLinkedList.java",138,20
File,"TestAbstractOrderedBidiMapDecorator.java",47,11
File,"TestAll.java",38,3
File,"TestAll.java",23,3
File,"TestAll.java",21,3
File,"TestAll.java",25,3
File,"TestAll.java",24,3
File,"TestAll.java",25,3
File,"TestAll.java",24,3
File,"TestAll.java",22,3
File,"TestAll.java",37,3
File,"TestAll.java",51,3
File,"TestAll.java",26,3
File,"TestAllPackages.java",28,3
File,"TestArrayIterator.java",58,12
File,"TestArrayIterator2.java",117,24
File,"TestArrayList.java",37,7
File,"TestArrayListIterator.java",66,14
File,"TestArrayListIterator2.java",30,8
File,"TestArrayStack.java",71,10
File,"TestBagUtils.java",153,28
File,"TestBeanMap.java",215,40
File,"TestBinaryHeap.java",234,41
File,"TestBlockingBuffer.java",248,42
File,"TestBooleanComparator.java",158,30
File,"TestBoundedFifoBuffer.java",81,18
File,"TestBoundedFifoBuffer.java",83,18
File,"TestBoundedFifoBuffer2.java",51,10
File,"TestBoundedFifoBuffer2.java",54,10
File,"TestBufferUtils.java",62,14
File,"TestCaseInsensitiveMap.java",66,8
File,"TestCircularFifoBuffer.java",104,19
File,"TestClosureUtils.java",290,34
File,"TestCollatingIterator.java",158,23
File,"TestCollectionUtils.java",856,29
File,"TestComparableComparator.java",26,4
File,"TestComparatorChain.java",154,29
File,"TestCompositeCollection.java",272,45
File,"TestCompositeMap.java",161,28
File,"TestCompositeSet.java",125,20
File,"TestCursorableLinkedList.java",953,55
File,"TestCursorableLinkedList.java",892,50
File,"TestDefaultKeyValue.java",95,13
File,"TestDefaultMapEntry.java",44,8
File,"TestDoubleOrderedMap.java",1827,317
File,"TestDualHashBidiMap.java",22,5
File,"TestDualTreeBidiMap.java",22,5
File,"TestEnumerationUtils.java",58,5
File,"TestExtendedProperties.java",94,9
File,"TestFactoryUtils.java",222,39
File,"TestFastArrayList.java",24,5
File,"TestFastArrayList1.java",30,6
File,"TestFastHashMap.java",24,5
File,"TestFastHashMap1.java",24,5
File,"TestFastTreeMap.java",33,8
File,"TestFastTreeMap1.java",24,5
File,"TestFilterIterator.java",104,25
File,"TestFilterListIterator.java",326,49
